,EQUIPMENT_DESC,Count
572,L1 DETECTOR_FILL_HEIGHT_FILTEC_3-G,3
573,SANIT_CIP_SYS_SKID_RO_UNIT L3,3
574,"APS - M2, SLOW DOWN COMBINER",3
575,INFEED TO EAST LABELER #2 - M15,3
576,TANK_SS_STOR_SYRUP_18,2
577,PUMP_CENT_SANIT_WATER L2,2
578,PALITIZER_ELECPNEU_OFFLOAD (NOT USE),2
579,PERMEATE TANK MOTOR & PUMP - SOUTH,2
580,TANK_SS_BATCH_MIX_2 L3,2
581,PUMP_CENT_SANIT_SUPPLY_1 L3,2
582,ALFA LAVAL HEAT EXCHANGER,2
583,TEKLEEN FILTER - NORTH,2
584,PUMP_CENT_SANIT_SUGAR_WEST PD-1001,2
585,WEST SYRUP ROOM COMPUTERS,2
586,LOCKER_HAZMAT_STORAGE_DENIOS_#6,2
587,PUMP_CENT_SANIT_PRODUCT_TANK,2
588,TEKLEEN FILTER - SOUTH,2
589,PUMP_CENT_SAVER_TANK L3,2
590,PUMP_CENT_SANIT_MIX_PUMP,2
591,TANK_SS_STOR_PRODUCT,2
592,PUMP_DIA_CO2_CYLINDER_1,2
593,PUMP_RECIP_HIGH_PRESSURE,2
594,ALLIANCE - M18 MERGE TABLE,2
595,LOCKER_HAZMAT_STORAGE_DENIOS_#5,2
596,ALLIANCE - M14,2
597,TANK_SS_BATCH_CC_CARBONATOR,2
598,TANK_SS_STOR_SYRUP_10,2
599,RECOVERY RO SKID MOTOR,2
600,RECOVERY TANK,2
601,RECOVERY TANK UV SYSTEM,2
602,SYRUP TANK #23,2
603,ACID PANEL,2
604,LOCKER_HAZMAT_STORAGE_DENIOS_#2,2
605,LOCKER_HAZMAT_STORAGE_DENIOS_#1,2
606,EMPTY CAN CONVEYOR (EC12B),2
607,L10 CAN INSPECTION_EMPTY CAN-SOUTH,2
608,EMPTY CAN CONVEYOR (EC16),2
609,L2 KHS BLOW MOLDER,2
610,L10 CONV_CASE/CARTON SORTER,2
611,EMPTY CAN CONVEYOR (EC18A),2
612,L10 DETECTOR_FILL_FILTEC_WEST,2
613,L3 NORDSON GLUE UNIT - WEST SIDE,2
614,EMPTY CAN CONVEYOR (EC19),2
615,EMPTY CAN CONVEYOR (EC3),2
616,FULL CAN CONVEYOR (FC60),2
617,L10 FUME EXTRACTION_EMPTY CAN_SOUTH,2
618,L10 FUME EXTRACTION_MEAD_EAST,2
619,L3 LINEAR ACTUATOR #2,2
620,L3 LINEAR ACTUATOR,2
621,L10 FUME EXTRACTION_MEAD_WEST,2
622,CIP #2 PUMP - P902,2
623,FB LOOSE MAIN INFEED #1 - M25,2
624,CO2 ANALYZER MAX-BEV,2
625,FULL CAN CONVEYOR (FC6),2
626,FULL CAN CONVEYOR (FC40),2
627,CODER-SPARE,2
628,L2 SLAUTTERBACK GLUE UNIT - EAST,2
629,CONV_AIR_CAP_EMPTY_CAN,2
630,FULL CAN CONVEYOR (FC45A),2
631,L2 PALLET LABELING SYSTEM,2
632,CODER_INKJET_UP29560012,2
633,CONV_FBELT_M128_M132,2
634,CONV_ACCUM_TBL_WEST,2
635,ALLIANCE CCF-355 3RD STRAIGHT SECTION,2
636,DETECTOR_FILL_7 (NOT USE),2
637,LAB_EQUIP_TORQUE_METER,2
638,ALLIANCE CCF-379 DOUGLAS DISCHARGE,2
639,CONV_RLLR_L3FCC100,2
640,LAB_EQUIP_INCUBATOR#1,2
641,L1 DOUGLAS GLUE UNIT,2
642,CONV_MT_M18_M19,2
643,L1 ENGINE_PRINT_SATO_S84EX,2
644,LAB_EQUIP_CAN_DENSIFIER,2
645,CONV_MT_FULL_BTL_L3FBC200,2
646,KHS BLOW MOLDER,2
647,LAB EQUIP_VIDEO_SEAM,2
648,CONV_MT_SMI_M1520,2
649,LINE 1 SANIT_CIP_SYSTEM,2
650,L4 WMR_SPRAY_BOTTLE_DESCON,2
651,DOUGLAS HEAT TUNNEL OUTFEED 90 - CCF-371,2
652,CONV_MT_M127_M125,2
653,HVAC_EXH_FAN_F47,1
654,TANK_SS_STOR_SURGE,1
655,FULL CAN CONVEYOR (FC55),1
656,FULL CAN CONVEYOR (FC51),1
657,FULL CAN CONVEYOR (FC57),1
658,HVAC_EXH_FAN_EF28,1
659,FULL CAN CONVEYOR (FC50),1
660,TANK_SS_STOR_SYRUP,1
661,FULL CAN CONVEYOR (FC88),1
662,TANK_SS_BATCH_BLENZER_2 L3,1
663,TANK_SS_STOR_SANTIZING_3,1
664,TANK_SS_BATCH_BLEND_2 L3,1
665,TANK_SS_BATCH_BLENZER_1 L3,1
666,CONV_MT_FULL_BTL_L3FBC600,1
667,GOODWAY_DRY STEAM _CLEANER_GVC-18000,1
668,FULL CAN CONVEYOR (FC67C),1
669,TANK_SS_BATCH_CC_CARBONATOR L2,1
670,GLUE_SYS_HOT_MELT_GPI,1
671,FULL CAN CONVEYOR (FC75A),1
672,FULL CAN CONVEYOR (FC8),1
673,ALLIANCE - 1ST STRAIGHT AFTER 90,1
674,FULL CAN CONVEYOR (FC82),1
675,GENIE SIZZOR LIFT GS-2632,1
676,TANK_SS_STOR_ACID_RINSE L3,1
677,FULL CAN CONVEYOR (FC83B),1
678,CONV_MT_FULL_BTL_L3FBC700,1
679,FULL CAN CONVEYOR (FC49),1
680,CONV_RLLR_L3FCC600,1
681,EMPTY CAN CONVEYOR (EC15),1
682,TANK_STL_STOR_SAVER L3,1
683,EMPTY CAN CONVEYOR (EC10),1
684,EAST SONIC AIR BLOWER - M31,1
685,EAST NATURAL GAS COMPRESSOR,1
686,ALLIANCE - #2 STRIAGHT AFTER TRANSFER,1
687,CONV_RLLR_M142,1
688,CONV_RLLR_M138_M142,1
689,TURBILITY PANEL,1
690,FULL CAN CONVEYOR (FC45D),1
691,UNIBLOC  L-STRAINER - STR335,1
692,CONV_RLLR_L3FCC300,1
693,WACO CAN CUTTER - LAB,1
694,CONV_RLLR_L3FCC200,1
695,WATER_SYS_CARB_WESTERN,1
696,CONV_RLLR_L3FCC1400,1
697,CONV_RLLR_FULL_PALLET,1
698,ALFA LAVAL DOUBLE SEAT VALVE - AV977,1
699,TANK_STL_STOR_NH3_RECEIVER L2,1
700,EMPTY CAN CONVEYOR (EC17),1
701,ALLIANCE - #3 SECTION W/ TABLE LEAN,1
702,ALLIANCE - #4 SECTION W/ TABLE LEAN,1
703,FULL CAN CONVEYOR (FC45C),1
704,FULL CAN CONVEYOR (FC44),1
705,FULL CAN CONVEYOR (FC43),1
706,FULL CAN CONVEYOR (FC26),1
707,FULL CAN CONVEYOR (FC2),1
708,FULL CAN CONVEYOR (FC1),1
709,CONV_MT_FULL_BTL_L3FBC300,1
710,CONV_MT_HICONE_INFEED,1
711,ENDRESS+HAUSER PROMAG H FLOWMETER-FT903,1
712,EMPTY CAN CONVEYOR (EC9),1
713,EMPTY CAN CONVEYOR (EC6),1
714,EMPTY CAN CONVEYOR (EC4C),1
715,EMPTY CAN CONVEYOR (EC4A),1
716,TANK_STL_STOR_CO2_PREMIX,1
717,EMPTY CAN CONVEYOR (EC18B),1
718,TANK_STL_STOR_COLD L3,1
719,TANK_STL_STOR_CONDENSATE,1
720,SYRUP TANK #21,1
721,L1 HYFRA LASER CHILLER - WEST,1
722,CONV_MT_FULL_BTL_L3FBC2700,1
723,L3 PALLET LABELING SYSTEM,1
724,BLENDING SKID #1 WATER PUMP/MOTOR,1
725,BOILR_H2OTB_SANIT,1
726,ALLIANCE - STRAIGHT #1,1
727,BOILR_H2O_1,1
728,CASE CONVEYOR (CC10A),1
729,CASE CONVEYOR (CC13D),1
730,PALLET CONVEYOR (P4),1
731,CASE CONVEYOR (CC2),1
732,CASE CONVEYOR (CC28),1
733,PUMP_CENT_SANIT_FILLER_SUPPLY,1
734,CASE CONVEYOR (CC4A),1
735,PUMP_CENT_CASE_PRE_RINSE L2,1
736,CASE CONVEYOR (CC9C),1
737,PUMP_CENT_CONDENSATE_RETURN L3,1
738,PUMP_CENT_HOT_WATER_CIRC L3,1
739,PUMP_CENT_SANIT,1
740,PUMP_CENT_SANIT_BLEND_TANK_2 L3,1
741,PUMP_CENT_SANIT_DISCHARGE L3,1
742,ALLIANCE - STRAIGHT #5,1
743,L4 ENGINE_PRINT_SATO_S84EX,1
744,PACK CONVEYOR (PC2F),1
745,PACK CONVEYOR (PC2B),1
746,ALLIANCE - STRAIGHT & 90 AFTER INCLINE,1
747,ALLIANCE CCF-354 2ND STAIGHT SECTION,1
748,METER_DENSITY_DMA_4500,1
749,ALLIANCE CCF-356 4TH STRAIGHT SECTION,1
750,ALLIANCE CCF-357 BRAKE BELT,1
751,ALLIANCE CCF-375 DOUGLAS DISCHARGE,1
752,ALLIANCE HICONE INFEED #1 - M23,1
753,MIXER_PARA,1
754,ALLIANCE - STRAIGHT #6 INTO 90,1
755,MONTR_CL2 (NOT USE),1
756,LAB_EQUIP_INCUBATOR#2,1
757,LAB_EQUIP_DENSITY_METER_SYRUP_LAB,1
758,NATURAL GAS COMPRESSORS - ENCLOSURE,1
759,LAB_EQUIP_DENSITY_METER,1
760,NORTH CLEAVERBROOKS BOILER FEED PUMP,1
761,LABELER_SPOT_TAG_APPLICATOR (NOT USE),1
762,ALLIANCE TTF-373 DOUGLAS INFEED,1
763,PUMP_CENT_SANIT_FILLER_RETURN L3,1
764,CIP #1 TRIAD ACTUATOR VALVE - TCV901,1
765,INTERNAL ROLL UP DOOR,1
766,L1 HMI_DISPLAY_FILTEC_INTELLECT,1
767,L10 FLIM LIFT_KISTER,1
768,RECYCLE_ELEC_CRUSH_TRASH,1
769,L10 CONV_FULL_ PALLET_WEST,1
770,L10 CODER_LASER_DOMINO_EMPTY_CAN_SOUTH,1
771,RINSER_ROTARY,1
772,L10 CODER_CARTON_MEAD_EAST,1
773,ALLIANCE - DEPAL EXIT & 90 TO INCLINE,1
774,ROOM 101 - FRONT OFFICE/FRONT DOOR,1
775,ALLIANCE - 2ND STRAIGHT INTO 90 DECLINE,1
776,L3 ENGINE_PRINT_SATO_S84EX,1
777,CONV_MT_FULL_BTL_COMBINER (NOT USE),1
778,CONV_MT_FULL_BTL_INCLINER (NOT USE),1
779,L1 DOMINO LASER CAN CODER - EAST,1
780,CONV_MT_FULL_BTL_L3FBC1400,1
781,L1 BOFA FUME EXTRACTER - WEST,1
782,CONV_MT_FULL_BTL_L3FBC1800,1
783,CONV_MT_FULL_BTL_L3FBC2100,1
784,CONV_MT_FULL_BTL_L3FBC2400,1
785,L10 FUME EXTRACTION_EMPTY CAN_NORTH,1
786,L10 WARMER_DESCON,1
787,RECOVERY RO SKID PUMP,1
788,L10 WATER HEATER-ARMSTRONG,1
789,PUMP_CENT_SANIT_SUGAR_EAST,1
790,CIP #2 TRIAD ACTUATOR VALVE - TCV902,1
791,CIP TANK,1
792,CO2 ANALYZER MAX-BEV REMOTE TRUCK PANEL,1
793,CO2_SYS_HEATER_1,1
794,CO2_SYS_HEATER_2,1
795,PUMP_CENT_SANIT_WATER_WARMER,1
796,CODER_INKJET_S4490052U,1
797,CODER_INKJET_S5120012U (NOT USE),1
798,CODER_INKJET_UP2636008,1
799,CODER_LASER_E1F01402 (NOT USE),1
800,PUMP_RECIP_CONDENSATE_COLLECT,1
801,CONV_AIR_CAP,1
802,ALLIANCE - M16 90 AFTER MAIN INCLINE,1
803,L2 CASE DROP CHUTE,1
804,CONV_CBL_EMPTY_CAN,1
805,L10 WRAPPER_STRETCH_LANTECH_EAST,1
806,L3 LINEAR ACTUATOR #3,1
