,EQUIPMENT_DESC,Count
130,L4 LAB_EQUIP_BEVERAGE PROCESS ANALYZER,136
131,LUBE_SYS_CONV_SOAP,136
132,L3 LASER CODER FUME EXTRACTOR,133
133,TOWER_SUGAR_23,132
134,CONV_MT_FULL_BTL_L1FC140,130
135,LINE #3 TRINE LABELER (NEW) WEST,124
136,L3 CONV_RLLR_L3FCC700,123
137,L3 CONV_RLLR_L3FCC1200,123
138,LINE #3 TRINE LABELER (NEW) EAST,122
139,L1 WULFTEC WRAPPER,122
140,L3 CONV_RLLR_L3FCC1000,121
141,L2 ALLIANCE-CCF203 SPIRAL INCLINE,120
142,CONV_MT_FULL_BTL_L1FC150,120
143,L04 PACKR_CASE_KHS_TSP A-M,120
144,L3 CONV_RLLR_L3FCC400,118
145,L3 CODER_INKJET_CAN_MARKEM-IMAJE_#1,118
146,L3 CONV_RLLR_L3FCC1500,118
147,L3 CONV_RLLR_L3FCC1800,118
148,L1 CODER_INKJET_CAN_MARKEM-IMAJE_#1,116
149,CO2_SYS_REFRIGERATION_UNIT_2,115
150,L4 PALLETIZER_ELECPNEU T-TEK # 2,114
151,RECYCLE BALER RECYCLE ROOM,114
152,L2 LAB_EQUIP_BEVERAGE,113
153,L2 CONV_MT_M34_M42,112
154,TANK_STL_STOR_HOLDING,112
155,L3 HEATER_WATER_GAS_DIRECT_FIRE_WARMER,111
156,L4 CONV_ACCUM_TBL,111
157,SANIT_CIP_SYS_SYRUP_A,109
158,L3 SORTER_PALLET,109
159,L2 CONV_FBELT_M75,107
160,L4 CONV_MT_SPIRAL_2,106
161,L2 CONV_MT_TBL_M28_M33,104
162,L4 CONV_MT_TBL_M10_M11,103
163,L1 CODER_LASER_C4661,102
164,L4 CONV_MT_TBL_M4_M9,102
165,CONV_MT_FULL_BTL_L1FC160,102
166,L2 CONV_MT_M1_M29,101
167,CAN LINE 3 HICONE PACKER,100
168,L3 WRAPPER_STRETCH_OVERHEAD,100
169,CONV_RLLR_L1FC180,97
170,PUMP_CENT_SANIT_WATER L4,96
171,L1 CONV_MT_LOWERATOR_DISCHRG,96
172,CONV_MT_FULL_BTL_L1FB10,96
173,L1 CONV_FC_WARMER_DISCHARGE_FC8A,96
174,CONV_MT_FULL_BTL_L1FB30,95
175,L1 CONV_FC_WARMER_DISCHARGE_FC8B,95
176,CONV_MT_FULL_BTL_L1FB70,94
177,L4 CONV_MT_M1_M2,93
178,CONV_MT_FULL_BTL_L1FB75,93
179,CONV_MT_FULL_BTL_L1FB60,92
180,L4 CONV_CBL_EMPTY_CAN,92
181,L4 CODER_LASER_EIF00392,91
182,CONV_MT_FULL_BTL_L1FB50,90
183,L1 CONV_FC_WARMER_INFEED_FC4,90
184,AIR_SYS_AIR_KNIFE (NOT USE),90
185,L1 CONV_FC_SEAMER_DISCHARGE_FC1B,87
186,CONV_RLLR_L1FC170,86
187,L1 CONV_FC_SEAMER_DISCHARGE_FC2D,84
188,WRAPPER_STRETCH_TURNTBL_SM004036,84
189,L1 CONV_FC_WARMER_INFEED_FC7,83
190,L1 CODER_INKJET_CAN_MARKEM-IMAJE_#2,83
191,PUMP_CENT_UF_FEED_PUMP,83
192,NATURAL GAS COMPRESSORS - BOTH,82
193,RECYCLE_ELEC_CUTTR_2,82
194,L1 CONV_FC_SEAMER_DISCHARGE_FC1C,81
195,L1 CONV_FC_WARMER_INFEED_FC5A,80
196,L1 CONV_FC_SEAMER_DISCHARGE_FC2A,80
197,L4 CONV_MT_M10_M14,79
198,L1 CONV_FC_SEAMER_DISCHARGE_FC1D,78
199,L3 CONV_MT_SPIRAL,78
200,L3 RINSER_ROTARY,78
201,L3 CONV_MT_EMPTY_BTL_L3EBC100,77
202,L1 EMPTY CAN LASER CODER,77
203,L4 CODER_LASER_EIF00391,77
204,L1 CONV_FC_WARMER_INFEED_FC5B,77
205,L2 CODER_LASER_C5460,77
206,L3 CONV_MT_EMPTY_BTL_L3EBC200,77
207,L4 CONV_FBELT_BOX_TRANSFER,77
208,CODER_INKJET_LEIBINGER_JET3,77
209,CONV_FBELT_FULL_CASE,77
210,PUMP_CENT_WATER_TANK,77
211,PUMP_VANE_NF_FEED,76
212,BOILR_FRTB_CIP_3,76
213,L3 AIR RINSER,75
214,L1 CONV_FC_SEAMER_DISCHARGE_FC2B,75
215,L1 CONV_FC_SEAMER_DISCHARGE_FC1E,75
216,L1 CONV_FC_SEAMER_DISCHARGE_FC2C,75
217,L1 CONV_FC_WARMER_INFEED_FC6,75
218,ALLIANCE CCF-373 SPIRAL INCLINE,75
219,L3 CONV_MT_FULL_BTL_L3FBC300,74
220,L4 CONV_MT_SPIRAL_1,74
221,L1 CONV_FC_DECEL_MODULE_FC3,74
222,L4 FAN_VACUUM_CONVEYOR_XFER,74
